31,Fix Leaking Tap,Tap leak until buay tahan!,2018-11-08,16:40,,"Box 5132 & 5017 Loyang Crescent Loyang Offshore Supply Base, 508988, Singapore",test3@example.com,2018-11-08
32,Fix choked sink,Sink choke very badly.,2018-12-05,12:30,,"52 Serangoon Nth Ave 4 #03-02, 555853, Singapore",test1@example.com,2018-12-05
33,Help Bathe Grandma,"Bedridden grandma difficult to bathe, need help",2018-11-01,12:00,,"3027 Ubi Road 1, 03-120 408720, Singapore",test4@example.com,2018-11-01
34,Fix Internet connection,Internet connection down,2018-12-12,18:00,,"865 Mountbatten Rd #01-71 Katong Shopping Centre, 437844, Singapore",test19@example.com,2018-12-12
35,Shift Furniture,,2018-12-20,17:45,,"No 1 Brooke Road, 02-17 Katong Plaza 449293, Singapore",test6@example.com,2018-12-20
36,Collect laundry ,"I have sent my laundry for washing, need someone to help me to collect the laundry",2018-11-08,20:00,,"103 Rivervale Wlk #03-74, 540103, Singapore",test1@example.com,2018-11-08
37,Scrub Down Kitchen,Kitchen has stains that need intense scrubbing,2018-10-25,13:00,,"HDB Tampines 201E Tampines Street 23 #04-96 527201, Singapore",test9@example.com,2018-10-25
38,Laundry and Ironing,Need help for weekly laundry!,2018-10-15,9:00,,"BLK 106 YISHUN RING ROAD, #01-175  760106, Singapore",test3@example.com,2018-10-15
39,Moving House,Help to load and unload items onto and off moving truck,2019-03-10,12:30,,"Punggol 821175, Singapore",test8@example.com,2018-03-10
40,Remove Weeds,Clear weeds from garden,2018-10-18,9:30,,"587 Bukit Timah Road 03-20 Coronation Plaza, 269707, Singapore",test8@example.com,2018-10-18
41,Sewing,Mending of damaged fabrics,2018-10-27,8:00,,"435 Orchard Road #13-05 WISMA ATRIA, 238877, Singapore",test19@example.com,2018-10-27
42,Scrub Toilet,Toilet bowl has too many stains,2018-10-12,19:00,,"401 HAVELOCK ROAD 02-18 MIRAMAR HOTEL, 169631, Singapore",test8@example.com,2018-10-12
43,Paint House,Paint house,2019-01-02,13:20,,"5140 ANG MO KIO AVENUE 6, 569844, Singapore",test4@example.com,2019-01-02
44,Buy supplements,Supplements at home is running low. Need to replenish them from Nature's Farm,2018-12-13,15:00,,"63 Cantonment Road, 089758, Singapore",test2@example.com,2018-12-13
45,Polish Sink,I love myself a shiny sink,2018-11-01,12:00,,"10 Anson Road 31-10 International Plaza, 079903, Singapore",test15@example.com,2018-11-01
46,Be my chauffeur,Have many errands to run in a day. Will be convenient if someone can ferry me to my destination,2018-12-25,14:45,,"Little India Shop Houses 43 Jalan Besar Singapore 208804, Singapore",test1@example.com,2018-12-25
47,Delivery,Help me to send stuff over to my nephew. Contact me for more details.,2018-12-11,12:00,,"1 Woodlands Square 730988, Singapore",test20@example.com,2018-12-11
48,Video editing,Need to submit video assignment in 2 weeks. Need help,2018-11-23,7:00,,"290 Orchard Road #01-30/31 THE PARAGON, 238859, Singapore",test4@example.com,2018-11-23
49,Shift TV,Shift tv to be properly disposed off,2018-10-18,10:00,,"460 Alexandra Road #38-00 Psa Building, 119963, Singapore",test3@example.com,2018-10-18
50,Buy CNY goodies,I have a list of CNY goodies I want to buy from the supermarket but I need help to purchase,2019-01-28,8:00,,"6 Gul Street 3, 629264, Singapore",test15@example.com,2019-01-28
51,Furniture Assembly,Bought lots of stuff from Ikea but dk how to fix,2018-10-15,14:00,,"105 Airport Cargo Road #452A Core H 4th Storey, 819462, Singapore",test9@example.com,2018-10-15
52,Grocery Shopping,I have a list of groceries to buy from the supermarket. ,2018-11-12,12:00,,"10 Ubi Crescent #04-88 Lobby E Ubi Techpark, 408564, Singapore",test2@example.com,2018-11-12
53,Waiting In Line,Help me queue up for new iPhone,2018-12-17,13:00,,"71 Lor 23 Geylang #08-01, 388386, Singapore",test1@example.com,2018-12-17
54,Wash my service yard,A lot of dirt. ,2018-12-11,11:30,,"20 Jalan Afifi #05-02 Certis Cisco Centre, 409179, Singapore",test4@example.com,2018-12-11
55,House Decoration,Setting up for Christmas!,2018-12-18,10:00,,"50 Serangoon North Ave 4 #07-13 First Centre, 555856, Singapore",test2@example.com,2018-12-17
56,Look after young children,"My nephew and niece will be coming over next week. During the day, I cannot take care of them. Will need someone to help",2018-11-13,10:00,,"108 Gerald Drive #04-38, 799035, Singapore",test6@example.com,2018-11-13
57,Electrician Help,Recently moved in and assistance needed with respect to wiring,2018-10-17,13:20,,"145 Woodlands Industrial Park E5, 757509 Singapore, Singapore",test3@example.com,2018-10-17
58,TV faulty,Help me to identify the fault with my TV,2018-11-06,15:00,,"10 Admiralty Street #05-47 NORTH LINK BUILDING, 757695, Singapore",test19@example.com,2018-11-06
59,Organisation,House in a mess!,2018-10-11,12:00,,"620A, Lor 1 Toa Payoh Singapore 319762, Singapore",test18@example.com,2018-10-11
60,Fridge faulty,Help me to identify the fault with my fridge,2018-11-12,14:45,,"30 Robinson Road #03-01B ROBINSON TOWERS, 048546, Singapore",test18@example.com,2018-11-12
61,Event Help,Hosting birthday party and require people to aid with crowd control,2019-02-12,12:00,,"80 Anson Road #28-03 Fuji Xerox Towers, 079907, Singapore",test4@example.com,2019-02-12
62,Purchase chair from IKEA,Need to get a chair from IKEA but do not have the time to go there. Will appreciate if any who is going there can help me to purchase,2018-10-20,7:00,,"20 Ayer Rajah Crescent #04-04 TECHNOPRENEUR CENTRE, 139964, Singapore",test10@example.com,2018-10-20
63,Photography,Need photographer for birthday party,2019-03-14,10:00,,"182 Clemenceau Avenue #04-00 RAFFLES SURGICENTRE, 239923, Singapore",test19@example.com,2019-03-13
64,Collect parcel from SingPost,I have a parcel there. Need someone to help me to collect,2018-11-23,8:00,,"85 Science Park Drive #02-01 THE CAVENDISH - (, 118259, Singapore",test1@example.com,2018-11-23
65,Window Cleaning,Window dirty need to clean,2018-10-11,14:00,,"Blk 518, Jurong West St 52 #02-00 Singapore 640518, Singapore",test13@example.com,2018-10-11
66,Order turkey for Christmas,Help me to order turkey for Christmas at Cold Storage,2018-12-17,12:00,,"84 Genting Lane #05-01 CITYNEON DESIGN CENTRE, 349584, Singapore",test5@example.com,2018-12-17
67,Wash Car,Wash bird droppings on car,2018-10-12,13:00,,"1 Changi South Street 2 Level 5, 486760, Singapore",test14@example.com,2018-10-12
68,Sew torn pants,Pants is torn but do not wish to throw it away,2018-12-15,11:30,,"7 magazine road 03-03 central mall, 059572, Singapore",test1@example.com,2018-12-15
69,Shift Furniture,Re-arranging house,2018-10-13,13:20,,"19 TUAS SOUTH STREET 1, 638066, Singapore",test20@example.com,2018-10-13
70,Clean my house,Help me to clean my house before I shift in,2018-12-08,15:00,,"141 Cecil Street #07-04 TUNG ANN ASSOCIATION BUILDING, 069541, Singapore",test9@example.com,2018-12-08
71,Pet Sitting,Help me to look after pet dog while I go out,2018-10-28,12:00,,"2 Sembawang Walk 757616, Singapore",test11@example.com,2018-10-28
72,Scrub Kitchen Tiles,Have oil stain on the tiles which need to be removed,2018-11-12,14:45,,"8 Neo Pee Teck Lane, 119034, Singapore",test13@example.com,2018-11-12
73,Car Maintenance,Old car needs maintenance assistance from experienced person,2018-12-17,12:00,,"blk 514 chai chee lane 03-02, 469029, Singapore",test12@example.com,2018-12-17
74,House decoration,Decorate house for Christmas,2018-12-13,7:00,,"80 Anson Road #28-03 Fuji Xerox Towers, 079907, Singapore",test19@example.com,2018-12-13
75,Computer Assistance,Computer screen keeps freezing. Require technical assistance.,2018-10-12,10:00,,"4 Shenton Way #10-03 Sgx Centre Ii, 068807, Singapore",test2@example.com,2018-10-12
76,Cook dinner,Need to cook dinner for my relative,2018-11-12,8:00,,"52 Chin Swee Road, 02-35 160052, Singapore",test15@example.com,2018-11-12
77,Electrician Needed,House wiring is all over the place. Help me pls..,2018-10-23,14:00,,"no 10 tuas avenue 18a, 638858, Singapore",test2@example.com,2018-10-23
78,Fix broken tap,,2018-12-05,12:00,,"50 Raffles Pl #22-01, 048623, Singapore",test7@example.com,2018-12-05
79,Clear Weeds,Remove weeds from lawn,2018-10-11,13:00,,"Woodlands 730779, Singapore",test11@example.com,2018-10-11
80,Air con servicing,,2018-03-03,11:30,,"68 Orchard Rd, # 03-73A, Plaza Singapura ,Singapore 238839, Singapore",test6@example.com,2018-03-03
81,Grocery Shopping,Need grocery shopping done. Contact me for more details.,2018-11-01,20:00,,"2 Corporation Road #03-09/11 Corporation Place, 618494, Singapore",test5@example.com,2018-11-01
82,Take care of elderly,visit the doctor,2018-05-12,13:00,,"101 Up Cross St #03-38, 058357, Singapore",test19@example.com,2018-05-12
83,Furniture Assembly,Post-Ikea-shopping woes,2018-10-14,9:00,,"75 Bukit Timah Road #05-11 Boon Siew Building, 229833, Singapore",test9@example.com,2018-10-14
84,Laundry,,2018-11-12,12:30,,"111 North Bridge Rd #07-04, 179098, Singapore",test18@example.com,2018-11-12
85,Garden Maintenance,General garden maintenance.,2018-12-02,9:30,,"69 Choa Chu Kang Loop #02-12, 689672, Singapore",test10@example.com,2018-12-02
86,Painting ,balcony walls only,2018-07-07,8:00,,"1 Jata Remaja #05-05 Hillview House, 663662, Singapore",test19@example.com,2018-07-07
87,Tidy Up Home,Help to make our home feel like home,2018-11-01,19:00,,"Blk 3007 Ubi Rd 1 05-412, 406701, Singapore",test15@example.com,2018-11-01
88,Disposal of bulky furniture,sofa and queen size bed,2018-02-28,13:20,,"150 Neil Road, 088879, Singapore",test4@example.com,2018-02-28
89,Plumbing,Kitchen sink choked,2018-10-14,15:00,,"95 Desker Road, 209617, Singapore",test9@example.com,2018-10-14
90,Cleaning and washing,,2018-10-02,12:00,,"Blk 5000, Ang Mo Kio Ave 5 Techplace II, 03-04 569870, Singapore",test4@example.com,2018-10-02
91,Babysitting,Look after 8 y.o. daughter for a while.,2018-11-15,14:45,,"Jurong Point Post Office Po Box 104 916404, Singapore",test5@example.com,2018-11-15
92,Fixing up curtail rails,,2018-04-16,20:00,,"24 Raffles Place #27-01 Clifford Centre, 048621, Singapore",test2@example.com,2018-04-16
93,Shift Furniture,,2018-12-09,13:00,,"388f clementi road, 599473, Singapore",test19@example.com,2018-12-09
94,Cooking,3 meals for a week,2018-06-08,9:00,,"jalan bukit merah 05-03 redhill industrial estate, 159455, Singapore",test17@example.com,2018-06-08
95,Spring Cleaning,Preparation for CNY,2019-02-01,12:30,,"Block 7 Pioneer Road North #01-51 Singapore 628459, Singapore",test17@example.com,2019-02-01
96,Children supervision,10 year old child,2018-12-12,9:30,,"28 Ayer Rajah Crescent #05-01 AYER RAJAH INDUSTRIAL ESTATE, 139959, Singapore",test15@example.com,2018-12-12
97,Floor Polishing,Marble floor needs yearly polishing job,2018-11-13,8:00,,"62 Tannery Lane, 347804, Singapore",test7@example.com,2018-11-13
98,Delivery,deliver cabinet to two streets away,2018-03-29,19:00,,"9 penang road #B1-07 Park Mall, 238459, Singapore",test19@example.com,2018-03-29
99,Waiting In Line,Help me to queue up for the new iPhone,2018-12-17,13:20,,"35 Selegie Road #10-26, 188307 Central, Singapore",test13@example.com,2018-12-17
100,Furniture Disposal,Help to dispose of furniture,2018-11-20,15:00,,"101 thomson road 26-01a united square, 307591, Singapore",test14@example.com,2018-11-20
